wavname,text,score,listener_id,audio type,anchor label,in AudioCaps
/audiocaps/test/104306.wav,A man talks as an engine idles loudly,10,10000,natural,False,test
/tango/test/106072.wav,A person burps followed by laughter,10,10000,tango,False,test
/audioldm2/test/107149.wav,A motor vehicle engine is running while race cars are passing by,10,10000,audioldm,False,test
/audioldm2/test/104306.wav,A man talks as an engine idles loudly,10,10000,audioldm,False,test
/audiocaps/test/104909.wav,A toilet is flushed,10,10000,natural,False,test
/audioldm/train/43960.wav,Humming of an engine with clip clops of a horse as men speak faintly and wind blows then a horn honks,10,10000,audioldm,False,train
/audiocaps/train/43960.wav,Humming of an engine with clip clops of a horse as men speak faintly and wind blows then a horn honks,8,10000,natural,False,train
/audiocaps/test/106835.wav,A motor vehicle engine is running while race cars are passing by,0,10000,natural,True,
/audioldm2/test/106072.wav,A person burps followed by laughter,5,10000,audioldm,False,test
/audiocaps/train/6300.wav,Water is gurgling and a person is speaking,10,10000,natural,False,train
/audiocaps/test/107149.wav,A motor vehicle engine is running while race cars are passing by,10,10000,natural,False,test
/tango/test/104909.wav,A toilet is flushed,10,10000,tango,False,test
/audioldm2/train/6300.wav,Water is gurgling and a person is speaking,10,10000,audioldm,False,train
/audiocaps/test/106072.wav,A person burps followed by laughter,10,10000,natural,False,test
/tango/test/107149.wav,A motor vehicle engine is running while race cars are passing by,10,10000,tango,False,test
/tango/test/104306.wav,A man talks as an engine idles loudly,10,10000,tango,False,test
/audiocaps/train/5237.wav,Humming of an engine with clip clops of a horse as men speak faintly and wind blows then a horn honks,1,10000,natural,True,
/tango2/train/43960.wav,Humming of an engine with clip clops of a horse as men speak faintly and wind blows then a horn honks,5,10000,tango,False,train
/audioldm2/test/104909.wav,A toilet is flushed,10,10000,audioldm,False,test
/audiocaps/test/103225.wav,Water is gurgling and a person is speaking,0,10000,natural,True,
/tango/train/6300.wav,Water is gurgling and a person is speaking,10,10000,tango,False,train
/audiocaps/test/105217.wav,Strong wind is blowing while leaves are rustling,0,10001,natural,False,test
/audiocaps/test/106479.wav,A train horn honking followed by a train running on railroad tracks,10,10001,natural,False,test
/audioldm2/test/103638.wav,A throbbing noise with a woman speaking in the background,0,10001,audioldm,False,test
/audiocaps/train/101723.wav,Flapping wings and splashes followed by a woman speaking,0,10001,natural,False,train
/audioldm2/test/106479.wav,A train horn honking followed by a train running on railroad tracks,10,10001,audioldm,False,test
/audiocaps/test/103490.wav,Pigeons cooing and flapping their wings,10,10001,natural,False,test
/tango/test/103638.wav,A throbbing noise with a woman speaking in the background,10,10001,tango,False,test
/tango/test/106479.wav,A train horn honking followed by a train running on railroad tracks,10,10001,tango,False,test
/audiocaps/test/104529.wav,Strong wind is blowing while leaves are rustling,10,10001,natural,True,
/audiocaps/test/107309.wav,"Footsteps and scuffing occur, after which a door grinds, squeaks and clicks, an adult male speaks, and the door grinds, squeaks and clicks shut with a thump",10,10001,natural,False,test
/audioldm2/train/101723.wav,Flapping wings and splashes followed by a woman speaking,10,10001,audioldm,False,train
/tango2/test/103490.wav,Pigeons cooing and flapping their wings,10,10001,tango,False,test
/audioldm/test/103490.wav,Pigeons cooing and flapping their wings,10,10001,audioldm,False,test
/audiocaps/test/103638.wav,A throbbing noise with a woman speaking in the background,10,10001,natural,False,test
/audioldm/test/107309.wav,"Footsteps and scuffing occur, after which a door grinds, squeaks and clicks, an adult male speaks, and the door grinds, squeaks and clicks shut with a thump",10,10001,audioldm,False,test
/tango2/test/107309.wav,"Footsteps and scuffing occur, after which a door grinds, squeaks and clicks, an adult male speaks, and the door grinds, squeaks and clicks shut with a thump",10,10001,tango,False,test
/audioldm2/test/105217.wav,Strong wind is blowing while leaves are rustling,10,10001,audioldm,False,test
/audiocaps/test/105921.wav,Pigeons cooing and flapping their wings,10,10001,natural,True,
/tango/train/101723.wav,Flapping wings and splashes followed by a woman speaking,10,10001,tango,False,train
/tango/test/105217.wav,Strong wind is blowing while leaves are rustling,10,10001,tango,False,test
/audiocaps/test/107207.wav,A throbbing noise with a woman speaking in the background,10,10001,natural,True,
/audioldm/train/53354.wav,A person snores lowly,10,10002,audioldm,False,train
/tango/train/79285.wav,Train horn honking twice with metal scraping followed by a man talking,2,10002,tango,False,train
/audiocaps/train/79285.wav,Train horn honking twice with metal scraping followed by a man talking,10,10002,natural,False,train
/tango2/train/53354.wav,A person snores lowly,10,10002,tango,False,train
/audiocaps/test/103935.wav,A person snores lowly,0,10002,natural,True,
/audioldm2/test/106737.wav,A series of train horns honking as birds chirp and a man talks in the background,5,10002,audioldm,False,test
/tango2/train/23850.wav,"Birds calling, wind blowing followed by an engine sounding",8,10002,tango,False,train
/audioldm2/train/28866.wav,A child speaks quickly before a crowd laughs modestly followed by a child speaking,10,10002,audioldm,False,train
/audiocaps/train/28866.wav,A child speaks quickly before a crowd laughs modestly followed by a child speaking,10,10002,natural,False,train
/audioldm2/test/103677.wav,A vehicle engine running idle as a man is talking,10,10002,audioldm,False,test
/tango/test/103677.wav,A vehicle engine running idle as a man is talking,10,10002,tango,False,test
/audioldm/train/23850.wav,"Birds calling, wind blowing followed by an engine sounding",10,10002,audioldm,False,train
/tango/test/106737.wav,A series of train horns honking as birds chirp and a man talks in the background,10,10002,tango,False,test
/audiocaps/test/107332.wav,A child speaks quickly before a crowd laughs modestly followed by a child speaking,0,10002,natural,True,
/audiocaps/test/106737.wav,A series of train horns honking as birds chirp and a man talks in the background,8,10002,natural,False,test
/audiocaps/train/53354.wav,A person snores lowly,10,10002,natural,False,train
/audioldm2/train/79285.wav,Train horn honking twice with metal scraping followed by a man talking,5,10002,audioldm,False,train
/tango/train/28866.wav,A child speaks quickly before a crowd laughs modestly followed by a child speaking,0,10002,tango,False,train
/audiocaps/test/103677.wav,A vehicle engine running idle as a man is talking,10,10002,natural,False,test
/audiocaps/train/23850.wav,"Birds calling, wind blowing followed by an engine sounding",10,10002,natural,False,train
/audiocaps/train/101437.wav,A vehicle engine running idle as a man is talking,10,10002,natural,True,
/tango2/test/105511.wav,Male speech and an insect buzzing,10,10003,tango,False,test
/tango/train/74887.wav,A gun fires two times,10,10003,tango,False,train
/audioldm2/train/74887.wav,A gun fires two times,8,10003,audioldm,False,train
/audiocaps/train/9309.wav,"A shuffling, clanking noise followed by a man's voice, a clinking chain, a whistle, and the quick pattering of feet",10,10003,natural,False,train
/audiocaps/train/19703.wav,"A shuffling, clanking noise followed by a man's voice, a clinking chain, a whistle, and the quick pattering of feet",10,10003,natural,True,
/audiocaps/train/68812.wav,Male speech and an insect buzzing,10,10003,natural,True,
/audioldm/train/80401.wav,Laughter with a child speech in the background and a dog barks as people laugh and talk,8,10003,audioldm,False,train
/audiocaps/test/104423.wav,Wood lightly shuffling as insects buzz while birds chirp in the background,9,10003,natural,False,test
/audiocaps/test/106198.wav,Race cars are racing followed by people talking,10,10003,natural,False,test
/audiocaps/test/105511.wav,Male speech and an insect buzzing,8,10003,natural,False,test
/tango2/test/106198.wav,Race cars are racing followed by people talking,10,10003,tango,False,test
/tango2/train/9309.wav,"A shuffling, clanking noise followed by a man's voice, a clinking chain, a whistle, and the quick pattering of feet",8,10003,tango,False,train
/audioldm/test/106198.wav,Race cars are racing followed by people talking,10,10003,audioldm,False,test
/audiocaps/test/107158.wav,Wood lightly shuffling as insects buzz while birds chirp in the background,10,10003,natural,True,
